,,CATALOGO DE COLONIAS DEL ESTADO DE DISTRITO FEDERAL,CATALOGO DE COLONIAS ,,,,,,,,
,,,,,,,,,,,
,ID,ENTIDAD,DISTRITO,MUNICIPIO,NOMBRE DEL MUNICIPIO,SECCION,TIPO DE SECCION,TIPO DE COLONIA,NOMBRE DE LA COLONIA,CP,CONTROL
,1646,9,1,5,GUSTAVO A. MADERO,821,URBANO(A),AMPLIACION,MALACATES,7119,1752
,1667,9,1,5,GUSTAVO A. MADERO,821,URBANO(A),COLONIA,MALACATES,7119,1776
,1646,9,1,5,GUSTAVO A. MADERO,822,URBANO(A),AMPLIACION,MALACATES,7119,1752
,1667,9,1,5,GUSTAVO A. MADERO,822,URBANO(A),COLONIA,MALACATES,7119,1776
,2146,9,1,5,GUSTAVO A. MADERO,822,URBANO(A),COLONIA,VERONICA CASTRO,7140,2301
,1667,9,1,5,GUSTAVO A. MADERO,823,URBANO(A),COLONIA,MALACATES,7119,1776
,1646,9,1,5,GUSTAVO A. MADERO,823,URBANO(A),AMPLIACION,MALACATES,7119,1752
,1667,9,1,5,GUSTAVO A. MADERO,824,URBANO(A),COLONIA,MALACATES,7119,1776
,1703,9,1,5,GUSTAVO A. MADERO,825,URBANO(A),COLONIA,ARBOLEDAS DE CUAUTEPEC,7140,1813
,2143,9,1,5,GUSTAVO A. MADERO,825,URBANO(A),AMPLIACION,ARBOLEDAS DE CUAUTEPEC,7140,2298
,1712,9,1,5,GUSTAVO A. MADERO,825,URBANO(A),COLONIA,LA FORESTAL 1,7140,1823
,1713,9,1,5,GUSTAVO A. MADERO,825,URBANO(A),COLONIA,LA FORESTAL 2,7144,1824
,1712,9,1,5,GUSTAVO A. MADERO,826,URBANO(A),COLONIA,LA FORESTAL 1,7140,1823
,1713,9,1,5,GUSTAVO A. MADERO,826,URBANO(A),COLONIA,LA FORESTAL 2,7144,1824
,2145,9,1,5,GUSTAVO A. MADERO,827,URBANO(A),COLONIA,15 DE SEPTIEMBRE(LA LENGUETA),7149,2300
,1669,9,1,5,GUSTAVO A. MADERO,827,URBANO(A),COLONIA,LOMAS DE CUAUTEPEC,7110,1778
,1711,9,1,5,GUSTAVO A. MADERO,827,URBANO(A),COLONIA,PARQUE METROPOLITANO,7149,1822
,2146,9,1,5,GUSTAVO A. MADERO,827,URBANO(A),COLONIA,VERONICA CASTRO,7140,2301
,2145,9,1,5,GUSTAVO A. MADERO,828,URBANO(A),COLONIA,15 DE SEPTIEMBRE(LA LENGUETA),7149,2300
,1669,9,1,5,GUSTAVO A. MADERO,828,URBANO(A),COLONIA,LOMAS DE CUAUTEPEC,7110,1778
,1667,9,1,5,GUSTAVO A. MADERO,828,URBANO(A),COLONIA,MALACATES,7119,1776
,1646,9,1,5,GUSTAVO A. MADERO,828,URBANO(A),AMPLIACION,MALACATES,7119,1752
,1711,9,1,5,GUSTAVO A. MADERO,828,URBANO(A),COLONIA,PARQUE METROPOLITANO,7149,1822
,1669,9,1,5,GUSTAVO A. MADERO,829,URBANO(A),COLONIA,LOMAS DE CUAUTEPEC,7110,1778
,1667,9,1,5,GUSTAVO A. MADERO,829,URBANO(A),COLONIA,MALACATES,7119,1776
,1669,9,1,5,GUSTAVO A. MADERO,830,URBANO(A),COLONIA,LOMAS DE CUAUTEPEC,7110,1778
