terreno,construccion,recamaras,banos,estacionamientos,ubicacion,precio,anio_construct,tipo
61.5,61.5,2,1,1,"Doctores, Cuauhtémoc, Ciudad De México 06720, México.","$2,900,000 MXN",2022,regular
55.2,55.2,1,1,1,"Doctores, Cuauhtémoc, Ciudad De México 06720, México.","$3,200,000 MXN",2018,regular
60.0,60.0,3,1,0,"Culhuacán CTM Sección VIII, Coyoacán, Ciudad De México 04831, México.","$1,500,000 MXN",1998,departamento
42.0,42.0,1,1,0,"Roma Norte, Cuauhtémoc, Ciudad De México 06700, México.","$2,137,000 MXN",1972,Duela
121.0,220.0,3,2,1,"Condesa, Cuauhtémoc, Ciudad De México 06140, México.","$14,890,000 MXN",1964,regular
122.0,172.0,6,2,0,"Reynosa Tamaulipas, Azcapotzalco, Ciudad De México 02200, México.","$3,300,000 MXN",1980,Loseta
122.0,172.0,6,2,0,"Reynosa Tamaulipas, Azcapotzalco, Ciudad De México 02200, México.","$3,300,000 MXN",1980,Loseta
"1,500.0","2,000.0",6,7,12,"Jardines Del Pedregal, Alvaro Obregón, Ciudad De México 01900, México.","$135,000,000 MXN",2013,regular
54.0,54.0,2,1,1,"Nonoalco, Benito Juárez, Ciudad De México 03700, México.","$2,500,000 MXN",2015,departamento
119.0,119.0,2,2,1,"Paseos De Taxqueña, Coyoacán, Ciudad De México 04250, México.","$3,300,000 MXN",1984,regular
59.0,59.0,2,2,1,"Guerrero, Cuauhtémoc, Ciudad De México 06300, México.","$2,259,459 MXN",2013,departamento
157.0,235.0,5,3,0,"Miguel Hidalgo, Tlalpan, Ciudad De México 14260, México.","$6,500,000 MXN",1988,regular
34.0,117.0,3,1,1,"Alianza Popular Revolucionaria Fovissste, Coyoacán, Ciudad De México 04800, México.","$2,550,000 MXN",1984,Vinílico
64.0,64.0,2,1,0,"Lindavista Vallejo II Secc., Gustavo A. Madero, Ciudad De México 07755, México.","$1,350,000 MXN",1982,loseta vinilica
55.0,55.0,2,1,1,"Guerrero, Cuauhtémoc, Ciudad De México 06300, México.","$2,150,000 MXN",2013,regular
73.4,73.4,2,1,0,"Pedregal De Carrasco, Coyoacán, Ciudad De México 04700, México.","$2,200,000 MXN",,regular
"1,227.7",701.0,3,3,4,"Jardines Del Pedregal De San Ángel, Coyoacán, Ciudad De México 04500, México.","$35,000,000 MXN",2018,casa-en-condominio
147.0,147.0,2,2,2,"Paseo De Las Lomas, Alvaro Obregón, Ciudad De México 01330, México.","$7,900,000 MXN",2014,departamento
105.0,105.0,3,1,0,"Nonoalco Tlatelolco, Cuauhtémoc, Ciudad De México 06900, México.","$2,750,000 MXN",60,departamento
64.0,64.0,2,1,1,"Santa Rosa, Gustavo A. Madero, Ciudad De México 07620, México.","$1,650,000 MXN",2009,departamento
123.0,123.0,3,2,2,"Del Valle, Benito Juárez, Ciudad De México 03100, México.","$4,950,000 MXN",1984,departamento
180.0,180.0,2,3,1,"Polanco Reforma, Miguel Hidalgo, Ciudad De México 11550, México.","$8,880,000 MXN",20,regular
200.0,200.0,3,3,1,"Polanco Reforma, Miguel Hidalgo, Ciudad De México 11550, México.","$9,500,000 MXN",20,LOSETA
50.0,50.0,2,1,1,"San Miguel, Iztapalapa, Ciudad De México 09360, México.","$1,800,000 MXN",2018,loseta
497.0,497.0,4,5,4,"Jardines Del Pedregal, Alvaro Obregón, Ciudad De México 01900, México.","$29,500,000 MXN",2021,penthouse
180.0,310.0,5,4,2,"Santa Cecilia, Coyoacán, Ciudad De México 04930, México.","$12,950,000 MXN",1980,Loseta
72.0,72.0,,1,1,"DM Nacional, Gustavo A. Madero, Ciudad De México 07450, México.","$2,126,000 MXN",2008,loseta
64.6,64.6,2,1,1,"Portales Sur, Benito Juárez, Ciudad De México 03300, México.","$2,800,000 MXN",1974,departamento
100.0,100.0,3,2,2,"San José Insurgentes, Benito Juárez, Ciudad De México 03900, México.","$5,700,000 MXN",2024,departamento
109.0,109.0,2,2,0,"Lomas De los Angeles De Tetelpan, Alvaro Obregón, Ciudad De México 01790, México.","$5,714,200 MXN",2024,departamento
70.0,70.0,2,2,2,"Narvarte Poniente, Benito Juárez, Ciudad De México 03020, México.","$4,440,000 MXN",2024,departamento
168.0,163.0,3,2,2,"Del Valle Norte, Benito Juárez, Ciudad De México 03103, México.","$7,300,000 MXN",2016,casa
118.5,118.5,3,2,0,"Nápoles, Benito Juárez, Ciudad De México 03810, México.","$5,190,000 MXN",40,regular
80.6,80.6,2,1,0,"Narvarte Poniente, Benito Juárez, Ciudad De México 03020, México.","$3,190,000 MXN",40,regular
152.0,152.0,3,3,2,"Polanco Reforma, Miguel Hidalgo, Ciudad De México 11550, México.","$12,776,000 MXN",,departamento
97.0,97.0,2,3,1,"Condesa, Cuauhtémoc, Ciudad De México 06140, México.","$8,200,000 MXN",2019,departamento
120.0,208.0,3,1,1,"Colonial Iztapalapa, Iztapalapa, Ciudad De México 09270, México.","$4,950,000 MXN",1983,regular
122.0,122.0,3,3,2,"San José Insurgentes, Benito Juárez, Ciudad De México 03900, México.","$5,900,000 MXN",1980,departamento
79.0,79.0,2,2,2,"Vértiz Narvarte, Benito Juárez, Ciudad De México 03600, México.","$3,990,000 MXN",12,laminado
200.0,170.0,3,2,2,"Prado Coapa 3a Secc., Tlalpan, Ciudad De México 14357, México.","$7,500,000 MXN",40,casa
57.0,57.0,,,0,"San Rafael, Cuauhtémoc, Ciudad De México 06470, México.","$2,480,000 MXN",2001,departamento
437.0,274.0,3,3,3,"Villa Quietud, Coyoacán, Ciudad De México 04960, México.","$9,950,000 MXN",1980,casa
66.4,66.4,2,2,2,"Tierra Nueva, Xochimilco, Ciudad De México 16050, México.","$3,300,000 MXN",18,casa-duplex
70.0,70.0,3,2,2,"Carola, Alvaro Obregón, Ciudad De México 01180, México.","$3,500,000 MXN",2014,2
212.0,375.0,3,3,3,"Residencial Acoxpa, Tlalpan, Ciudad De México 14300, México.","$8,400,000 MXN",2000,"Duela, Loseta,  Mármol"
79.2,79.2,2,1,1,"Agrícola Oriental, Iztacalco, Ciudad De México 08500, México.","$2,150,000 MXN",7,loseta
82.0,82.0,2,1,1,"Nonoalco Tlatelolco, Cuauhtémoc, Ciudad De México 06900, México.","$1,949,500 MXN",1963,departamento
44.0,55.0,2,1,0,"Ejercito Constitucionalista, Iztapalapa, Ciudad De México 09220, México.","$850,000 MXN",1996,Loseta cerámica
132.0,132.0,3,2,2,"Santa Ursula Xitla, Tlalpan, Ciudad De México 14420, México.","$5,600,000 MXN",15,ceramico y duela
85.0,85.0,3,2,2,"Del Gas Amp, Azcapotzalco, Ciudad De México 02970, México.","$3,800,000 MXN",2021,departamento
173.0,173.0,3,2,1,"Sifón, Iztapalapa, Ciudad De México 09400, México.","$4,700,000 MXN",2010,regular
200.0,225.0,2,1,1,"San Bartolo Atepehuacan, Gustavo A. Madero, Ciudad De México 07730, México.","$4,556,000 MXN",40,regular
173.0,173.0,3,2,1,"Sifón, Iztapalapa, Ciudad De México 09400, México.","$4,790,000 MXN",2010,regular
74.0,74.0,2,2,1,"Roma Sur, Cuauhtémoc, Ciudad De México 06760, México.","$3,890,000 MXN",10,regular
74.0,74.0,2,2,1,"Roma Sur, Cuauhtémoc, Ciudad De México 06760, México.","$3,890,000 MXN",10,regular
64.0,64.0,2,1,1,"Guerrero, Cuauhtémoc, Ciudad De México 06300, México.","$1,550,000 MXN",1993,departamento
89.0,89.0,2,2,2,"Pedregal De Carrasco, Coyoacán, Ciudad De México 04700, México.","$5,900,000 MXN",2020,regular
18.0,65.0,2,2,1,"Escandón II Sección, Miguel Hidalgo, Ciudad De México 11800, México.","$3,400,000 MXN",2012,Loseta Cerámica
212.0,278.0,,4,0,"San Diego Churubusco, Coyoacán, Ciudad De México 04120, México.","$8,700,000 MXN",1973,casa
47.2,47.2,2,1,1,"Guerrero, Cuauhtémoc, Ciudad De México 06300, México.","$2,433,375 MXN",2024,departamento
64.0,64.0,3,1,0,"Anahuac, Miguel Hidalgo, Ciudad De México 11320, México.","$2,000,000 MXN",2003,departamento
54.0,73.0,3,1,1,"Santiago Ahuizotla, Azcapotzalco, Ciudad De México 02750, México.","$2,300,000 MXN",1996,Lozeta
173.0,173.0,3,2,1,"Sifón, Iztapalapa, Ciudad De México 09400, México.","$4,790,000 MXN",2010,regular
400.0,520.0,4,4,4,"Jardines De Coyoacán, Coyoacán, Ciudad De México 04890, México.","$19,900,000 MXN",1981,casa
260.0,260.0,4,4,2,"Del Valle, Benito Juárez, Ciudad De México 03100, México.","$9,300,000 MXN",2016,regular
184.0,194.0,6,3,1,"Santa Inés, Azcapotzalco, Ciudad De México 02140, México.","$3,850,000 MXN",1972,regular
81.0,81.0,1,1,2,"San Rafael, Cuauhtémoc, Ciudad De México 06470, México.","$4,100,000 MXN",25,departamento
86.0,86.0,2,2,1,"Lomas Del Chamizal, Cuajimalpa De Morelos, Ciudad De México 05129, México.","$4,200,000 MXN",9,departamento
151.0,151.0,3,2,2,"Polanco Chapultepec, Miguel Hidalgo, Ciudad De México 11560, México.","$12,150,000 MXN",2009,departamento
85.0,85.0,3,1,0,"Acueducto de Guadalupe, Gustavo A. Madero, Ciudad De México 07279, México.","$1,550,000 MXN",1984,departamento
256.0,256.0,3,3,3,"Bosques De Las Lomas, Miguel Hidalgo, Ciudad De México 11700, México.","$8,950,000 MXN",13,departamento
120.0,163.0,3,3,0,"San Francisco, La Magdalena Contreras, Ciudad De México 10500, México.","$5,000,000 MXN",1989,casa
154.0,154.0,3,2,1,"Verónica Anzures, Miguel Hidalgo, Ciudad De México 11300, México.","$6,290,000 MXN",1999,"LAMINADO, PARQUET Y LOSETA"
67.0,67.0,3,1,1,"Unidad Cuitlahuac, Azcapotzalco, Ciudad De México 02500, México.","$1,790,000 MXN",1982,Loseta
56.8,56.8,2,1,0,"Guerrero, Cuauhtémoc, Ciudad De México 06300, México.","$1,550,000 MXN",1999,loseta cerámica
558.2,465.3,3,4,5,"Lomas De Vista Hermosa, Cuajimalpa De Morelos, Ciudad De México 05100, México.","$31,047,000 MXN",2023,departamento
66.1,66.1,2,1,1,"Niños Héroes De Chapultepec, Benito Juárez, Ciudad De México 03440, México.","$2,500,000 MXN",2000,regular
208.0,459.0,5,3,3,"Santa María Ticoman, Gustavo A. Madero, Ciudad De México 07330, México.","$11,300,000 MXN",1981,casa
86.2,60.8,2,2,1,"San Rafael, Cuauhtémoc, Ciudad De México 06470, México.","$3,500,000 MXN",2015,regular
81.0,81.0,2,2,1,"Roma Norte, Cuauhtémoc, Ciudad De México 06700, México.","$4,500,000 MXN",2015,departamento
139.7,139.7,3,3,0,"El Contadero, Cuajimalpa De Morelos, Ciudad De México 05500, México.","$10,985,080 MXN",4,departamento
