terreno,construccion,recamaras,banos,estacionamientos,ubicacion,precio,anio_construct,cp,alcaldia,colonia,grado_marginalidad,pob_2010,tipo_seccion,tipo_col,precio_str,lat_long,lat,long
61.5,61.5,2.0,1.0,1,"Doctores, Cuauhtémoc, Ciudad De México 06720, México.",2900000.0,2022.0,6720,CUAUHTEMOC,DOCTORES I,5.0,44703.0,URBANO(A),COLONIA,"$2,900,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
55.2,55.2,1.0,1.0,1,"Doctores, Cuauhtémoc, Ciudad De México 06720, México.",3200000.0,2018.0,6720,CUAUHTEMOC,DOCTORES I,5.0,44703.0,URBANO(A),COLONIA,"$3,200,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
42.0,42.0,1.0,1.0,0,"Roma Norte, Cuauhtémoc, Ciudad De México 06700, México.",2137000.0,1972.0,6700,CUAUHTEMOC,ROMA NORTE I,3.0,27770.0,URBANO(A),COLONIA,"$2,137,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
121.0,220.0,3.0,2.0,1,"Condesa, Cuauhtémoc, Ciudad De México 06140, México.",14890000.0,1964.0,6140,CUAUHTEMOC,CONDESA,2.0,11657.0,URBANO(A),COLONIA,"$14,890,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
122.0,172.0,6.0,2.0,0,"Reynosa Tamaulipas, Azcapotzalco, Ciudad De México 02200, México.",3300000.0,1980.0,2200,AZCAPOTZALCO,REYNOSA TAMAULIPAS,5.0,7490.0,URBANO(A),COLONIA,"$3,300,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
122.0,172.0,6.0,2.0,0,"Reynosa Tamaulipas, Azcapotzalco, Ciudad De México 02200, México.",3300000.0,1980.0,2200,AZCAPOTZALCO,REYNOSA TAMAULIPAS,5.0,7490.0,URBANO(A),COLONIA,"$3,300,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
1500.0,2000.0,6.0,7.0,12,"Jardines Del Pedregal, Alvaro Obregón, Ciudad De México 01900, México.",135000000.0,2013.0,1900,ALVARO OBREGON,JARDINES DEL PEDREGAL,1.0,13817.0,URBANO(A),COLONIA,"$135,000,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
54.0,54.0,2.0,1.0,1,"Nonoalco, Benito Juárez, Ciudad De México 03700, México.",2500000.0,2015.0,3700,BENITO JUAREZ,NONOALCO,1.0,8154.0,URBANO(A),COLONIA,"$2,500,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
119.0,119.0,2.0,2.0,1,"Paseos De Taxqueña, Coyoacán, Ciudad De México 04250, México.",3300000.0,1984.0,4250,COYOACAN,PASEOS DE TAXQUEÑA I,2.0,14179.0,URBANO(A),COLONIA,"$3,300,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
59.0,59.0,2.0,2.0,1,"Guerrero, Cuauhtémoc, Ciudad De México 06300, México.",2259459.0,2013.0,6300,CUAUHTEMOC,GUERRERO I,4.0,42339.0,URBANO(A),COLONIA,"$2,259,459 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
34.0,117.0,3.0,1.0,1,"Alianza Popular Revolucionaria Fovissste, Coyoacán, Ciudad De México 04800, México.",2550000.0,1984.0,4800,COYOACAN,ALIANZA POPULAR REVOLUCIONARIA NORTE (U HAB),2.0,14821.0,URBANO(A),UNIDAD HABITACIONAL,"$2,550,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
55.0,55.0,2.0,1.0,1,"Guerrero, Cuauhtémoc, Ciudad De México 06300, México.",2150000.0,2013.0,6300,CUAUHTEMOC,GUERRERO I,4.0,42339.0,URBANO(A),COLONIA,"$2,150,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
