alcaldia,cve_col,colonia,pob_2010,grado_marginalidad,CP,tipo_seccion,tipo_col
AZCAPOTZALCO,02-001,AGUILERA,2014.0,4,2900,URBANO(A),COLONIA
AZCAPOTZALCO,02-002,ALDANA,3378.0,5,2910,URBANO(A),COLONIA
AZCAPOTZALCO,02-005,ANGEL ZIMBRON,2737.0,2,2099,URBANO(A),COLONIA
AZCAPOTZALCO,02-006,ARENAL,4817.0,4,2980,URBANO(A),COLONIA
AZCAPOTZALCO,02-007,CENTRO DE AZCAPOTZALCO,3043.0,1,2000,URBANO(A),COLONIA
AZCAPOTZALCO,02-008,CLAVERIA,9570.0,3,2080,URBANO(A),COLONIA
AZCAPOTZALCO,02-009,COLTONGO,4173.0,4,2630,URBANO(A),COLONIA
AZCAPOTZALCO,02-010,COSMOPOLITA,3072.0,3,2920,URBANO(A),AMPLIACION
AZCAPOTZALCO,02-011,COSMOPOLITA (AMPL),992.0,2,2920,URBANO(A),AMPLIACION
AZCAPOTZALCO,02-012,CRUZ ROJA TEPANTONGO (U HAB),1119.0,3,2127,URBANO(A),UNIDAD HABITACIONAL
AZCAPOTZALCO,02-015,DEL GAS,4857.0,3,2950,URBANO(A),COLONIA
AZCAPOTZALCO,02-016,DEL GAS (AMPL),1254.0,2,2950,URBANO(A),COLONIA
AZCAPOTZALCO,02-017,DEL MAESTRO,718.0,1,2040,URBANO(A),COLONIA
AZCAPOTZALCO,02-018,DEL RECREO,9261.0,3,2070,URBANO(A),CONJUNTO HABITACIONAL
AZCAPOTZALCO,02-020,ECOLOGICA NOVEDADES IMPACTO (U HAB),367.0,2,2110,URBANO(A),UNIDAD HABITACIONAL
AZCAPOTZALCO,02-023,EL ROSARIO A (U HAB),6577.0,3,2100,URBANO(A),UNIDAD HABITACIONAL
AZCAPOTZALCO,02-024,EL ROSARIO B (U HAB),10761.0,4,2100,URBANO(A),UNIDAD HABITACIONAL
AZCAPOTZALCO,02-025,EL ROSARIO C (U HAB),9016.0,4,2100,URBANO(A),UNIDAD HABITACIONAL
AZCAPOTZALCO,02-026,EUZKADI,4428.0,2,2660,URBANO(A),COLONIA
AZCAPOTZALCO,02-027,EX-HACIENDA EL ROSARIO,2286.0,1,2100,URBANO(A),UNIDAD HABITACIONAL
AZCAPOTZALCO,02-028,FERRERIA,1639.0,3,2230,URBANO(A),UNIDAD HABITACIONAL
AZCAPOTZALCO,02-029,FERRERIA (U HAB),3207.0,2,2230,URBANO(A),UNIDAD HABITACIONAL
AZCAPOTZALCO,02-030,FRANCISCO VILLA (U HAB),3674.0,2,2420,URBANO(A),UNIDAD HABITACIONAL
AZCAPOTZALCO,02-031,FUENTES DE AZCAPOTZALCO-PARQUES DE AZCAPOTZALCO (U HAB),1387.0,3,2070,URBANO(A),CONJUNTO HABITACIONAL
